1,0.0766,0.5292,0.2658,0.1284,201.6837
1,0.2409,0.2847,0.2232,0.2513,210.0661
1,0.2237,0.2587,0.3368,0.1808,200.1449
1,0.1033,0.3866,0.2715,0.2387,219.575
1,0.0229,0.1678,0.3496,0.4596,429.629
1,0.5084,0.1975,0.0472,0.2468,251.2077
1,0.2926,0.2288,0.0646,0.414,279.019
1,0.1309,0.1941,0.4388,0.2362,240.8233
1,0.0283,0.2404,0.3645,0.3668,345.16
1,0.1875,0.2592,0.2163,0.337,238.2841
1,0.3982,0.1808,0.3984,0.0226,177.9793
1,0.1565,0.0673,0.5164,0.2598,298.2495
1,0.1577,0.5154,0.2314,0.0955,176.0754
1,0.3813,0.156,0.2508,0.2118,218.4752
1,0.0691,0.4714,0.3757,0.0839,201.8953
1,0.3315,0.1682,0.062,0.4383,308.9022
1,0.2229,0.4585,0.0745,0.244,205.4331
1,0.1355,0.0476,0.5274,0.2895,338.7464
1,0.1885,0.4812,0.2492,0.0811,171.2717
1,0.28,0.2051,0.2003,0.3146,235.7362
1,0.3139,0.0545,0.4609,0.1707,251.1333
1,0.2537,0.3165,0.1186,0.3112,225.1698
1,0.1982,0.299,0.2305,0.2724,216.3397
1,0.467,0.1536,0.0809,0.2985,265.3219
1,0.2066,0.244,0.2436,0.3057,230.1355
1,0.0747,0.1013,0.3504,0.4736,386.5306
1,0.3255,0.1471,0.1213,0.4061,287.1753
1,0.0709,0.3373,0.2352,0.3567,267.7137
1,0.2987,0.2043,0.2736,0.2233,211.9708
1,0.3252,0.2025,0.1331,0.3392,247.9408
1,0.4068,0.1083,0.1163,0.3685,294.1808
1,0.3152,0.1327,0.5484,0.0037,190.1348
1,0.3878,0.1381,0.4199,0.0543,191.3487
1,0.1788,0.3119,0.2254,0.2838,219.8419
1,0.316,0.1195,0.2966,0.2679,242.0172
1,0.2297,0.3946,0.1916,0.1841,189.315
1,0.4483,0.0609,0.4645,0.0263,210.3933
1,0.2741,0.2028,0.2632,0.2599,221.3575
1,0.3651,0.1369,0.4069,0.0911,198.3401
1,0.0795,0.08,0.5287,0.3117,349.3595
1,0.3058,0.2589,0.2287,0.2067,201.287
1,0.4353,0.2613,0.1239,0.1794,202.7608
1,0.1259,0.289,0.2812,0.3039,237.1557
1,0.0814,0.2979,0.0768,0.5438,347.2054
1,0.0563,0.3021,0.2492,0.3924,294.7137
1,0.0186,0.3802,0.293,0.3081,323.5726
1,0.1333,0.326,0.3988,0.1419,200.3201
1,0.2702,0.486,0.0737,0.17,187.8028
1,0.187,0.3512,0.0992,0.3626,241.4296
1,0.1132,0.3575,0.2592,0.2701,225.4803
1,0.0964,0.354,0.2988,0.2508,227.628
1,0.1214,0.2871,0.2444,0.3471,249.5007
1,0.2381,0.0714,0.3421,0.3484,295.1599
1,0.235,0.4948,0.0211,0.2492,215.0418
1,0.3844,0.0294,0.1946,0.3915,350.1367
1,0.3902,0.1181,0.2444,0.2473,237.6878
1,0.1178,0.3184,0.1439,0.4198,270.5368
1,0.0545,0.3881,0.3884,0.169,232.6952
1,0.1865,0.2352,0.5626,0.0157,186.0044
1,0.0154,0.2641,0.1366,0.5839,494.1027
1,0.2976,0.2157,0.3173,0.1694,199.2565
1,0.3906,0.1649,0.3474,0.097,192.6512
1,0.1463,0.2695,0.1268,0.4575,284.8022
1,0.2741,0.3661,0.1362,0.2236,199.1676
1,0.0627,0.4614,0.155,0.3209,254.7051
1,0.1789,0.2512,0.2841,0.2858,227.5751
1,0.1917,0.3016,0.4603,0.0464,179.2188
1,0.4239,0.1881,0.0351,0.3529,287.781
1,0.5354,0.0706,0.0748,0.3191,324.1146
1,0.144,0.2719,0.2455,0.3386,243.6904
1,0.0887,0.4299,0.3756,0.1059,198.9923
1,0.2325,0.3066,0.3126,0.1483,188.3584
1,0.1223,0.0508,0.6206,0.2063,323.1464
1,0.1102,0.318,0.2746,0.2971,236.6077
1,0.2976,0.2617,0.2624,0.1783,195.1079
1,0.2354,0.3212,0.1997,0.2436,205.6438
1,0.1226,0.0935,0.4776,0.3063,304.1929
1,0.45,0.3586,0.0899,0.1014,182.3895
1,0.2189,0.0717,0.4255,0.2839,280.6088
1,0.3307,0.23,0.002,0.4373,334.1845
1,0.3067,0.2197,0.3214,0.1523,195.194
1,0.2439,0.2644,0.1839,0.3077,226.5165
1,0.3705,0.247,0.2411,0.1414,189.4801
1,0.009,0.2346,0.3527,0.4037,454.3398
1,0.1335,0.3007,0.2214,0.3444,243.9735
1,0.221,0.5862,0.1182,0.0745,167.9146
1,0.1706,0.2108,0.5176,0.1009,204.4142
1,0.3282,0.3233,0.0725,0.2759,221.3793
1,0.0873,0.3778,0.4157,0.1192,206.421
1,0.2657,0.1107,0.3561,0.2674,248.168
1,0.2257,0.058,0.1438,0.5725,427.8708
1,0.1918,0.2313,0.1744,0.4024,262.6558
1,0.1471,0.2441,0.3657,0.2432,226.1454
1,0.3348,0.3888,0.1213,0.1551,184.9435
1,0.1623,0.2956,0.3527,0.1893,205.2692
1,0.2815,0.2781,0.1023,0.3381,238.2607
1,0.0814,0.3175,0.1753,0.4257,285.9947
1,0.063,0.3763,0.2229,0.3377,263.7612
